0,-1,1.2246e-16,0
1.157,-0.99518,-0.098017,0
2.314,-0.98079,-0.19509,0
3.471,-0.95694,-0.29028,0
4.628,-0.92388,-0.38268,0
5.785,-0.88192,-0.4714,0
6.942,-0.83147,-0.55557,0
8.099,-0.77301,-0.63439,0
9.256,-0.70711,-0.70711,0
10.413,-0.63439,-0.77301,0
11.57,-0.55557,-0.83147,0
12.727,-0.4714,-0.88192,0
13.884,-0.38268,-0.92388,0
15.041,-0.29028,-0.95694,0
16.198,-0.19509,-0.98079,0
17.355,-0.098017,-0.99518,0
18.512,-1.837e-16,-1,0
19.669,0.098017,-0.99518,0
20.826,0.19509,-0.98079,0
21.983,0.29028,-0.95694,0
23.14,0.38268,-0.92388,0
24.297,0.4714,-0.88192,0
25.454,0.55557,-0.83147,0
26.611,0.63439,-0.77301,0
27.768,0.70711,-0.70711,0
28.925,0.77301,-0.63439,0
30.082,0.83147,-0.55557,0
31.239,0.88192,-0.4714,0
32.396,0.92388,-0.38268,0
33.553,0.95694,-0.29028,0
34.71,0.98079,-0.19509,0
35.867,0.99518,-0.098017,0
37.024,1,-2.4493e-16,0
38.181,0.99518,0.098017,0
39.338,0.98079,0.19509,0
40.495,0.95694,0.29028,0
41.652,0.92388,0.38268,0
42.809,0.88192,0.4714,0
43.966,0.83147,0.55557,0
45.123,0.77301,0.63439,0
46.28,0.70711,0.70711,0
47.437,0.63439,0.77301,0
48.594,0.55557,0.83147,0
49.751,0.4714,0.88192,0
50.908,0.38268,0.92388,0
52.065,0.29028,0.95694,0
53.222,0.19509,0.98079,0
54.379,0.098017,0.99518,0
55.536,3.0616e-16,1,0
56.693,-0.098017,0.99518,0
57.85,-0.19509,0.98079,0
59.007,-0.29028,0.95694,0
60.164,-0.38268,0.92388,0
61.321,-0.4714,0.88192,0
62.478,-0.55557,0.83147,0
63.635,-0.63439,0.77301,0
64.792,-0.70711,0.70711,0
65.949,-0.77301,0.63439,0
67.106,-0.83147,0.55557,0
68.263,-0.88192,0.4714,0
69.42,-0.92388,0.38268,0
70.577,-0.95694,0.29028,0
71.734,-0.98079,0.19509,0
72.891,-0.99518,0.098017,0
74.048,-1,3.6739e-16,0
